id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
678993,Bay Leaf Cottage,3455821,Gwendoline,Ward 57,-33.93618,18.46611,Entire home/apt,1089,2,67,2024-04-29,0.49,1,285,5;
"292170,""Gay-friendly, City Bowl  Cape Town"",1513113,Susan’s Susanna,Ward 115,-33.93277,18.41939,Private room,700,3,6,2022-11-18,0.05,2,364,0";
1044351,Cape City View,5509428,Cape Eazi Stayz,Ward 115,-33.92362,18.42192,Entire home/apt,990,1,2,2021-12-09,0.02,22,63,0;
686495,Perfectly positioned Bakoven home,3517753,Odette,Ward 54,-33.95909,18.37865,Entire home/apt,6000,5,7,2022-01-05,0.06,2,362,0;
1046677,African Icon,5509428,Cape Eazi Stayz,Ward 115,-33.91705,18.42472,Entire home/apt,1020,1,6,2023-02-26,0.06,22,55,0;
1047449,Aeicon Suite,5509428,Cape Eazi Stayz,Ward 115,-33.91918,18.4245,Entire home/apt,1,6,2023-02-23,0.06,22,0,0;
688644,OLIVE'S COTTAGE,615652,Doreen,Ward 77,-33.93321,18.40691,Entire home/apt,3200,1,39,2024-05-19,0.28,5,187,4;
1049807,Rockefeller Suite,5509428,Cape Eazi Stayz,Ward 115,-33.91519,18.4183,Hotel room,1300,2,14,2022-07-31,0.11,22,25,0;
"690609,""Sunny, spacious & central in a hip neighborhood"",212014848,Ashley,Ward 57,-33.93651,18.46634,Entire home/apt,1150,3,182,2024-04-28,1.28,2,66,10";
1049961,Adenium Beachfront,5509428,Cape Eazi Stayz,Ward 115,-33.90026,18.4045,Entire home/apt,1200,1,26,2024-03-30,0.22,22,44,3;
697880,Private Garden Cottage,3576139,Angela,Ward 57,-33.93624,18.44431,Entire home/apt,850,2,205,2024-05-11,1.46,3,360,10;
1050007,Studio Martini,5509428,Cape Eazi Stayz,Ward 115,-33.92655,18.41475,Entire home/apt,880,1,10,2024-02-07,0.10,22,50,2;
708351,Cape Cottage-A Home Away From Home,3642757,Jessica,Ward 64,-34.08379,18.47682,Entire home/apt,1500,2,139,2024-05-21,0.98,1,37,12;
1058642,Private Residence Camps Bay Beach UPS Backup power,5807357,Michaeljon,Ward 54,-33.9514,18.38436,Entire home/apt,2230,2,289,2024-06-22,2.78,1,68,51;
1075794,Fabulous 1-Bedroom De Waterkant Apt. WiFi included,1852795,Jenny,Ward 115,-33.91559,18.41824,Entire home/apt,960,5,42,2024-03-11,0.32,3,211,1;
731764,Lido Beach Front Apartment with Sea Views,3809204,Chantal,Ward 54,-33.91953,18.38404,Entire home/apt,2300,10,17,2024-03-02,0.25,6,110,6;
731882,African Beach Studio 1 - Ocean Facing,3809204,Chantal,Ward 115,-33.90204,18.39954,Entire home/apt,1186,10,31,2024-06-01,0.28,6,132,6;
1081311,Spacious Double Room Available in Cape Town,5947217,Renate,Ward 4,-33.86739,18.50606,Private room,344,5,118,2024-01-28,1.02,1,217,7;
732339,Zebra Place Self Catering Rosendal Bellville. CT,3812467,Otto,Ward 21,-33.86673,18.64441,Entire home/apt,780,2,58,2023-07-11,0.51,3,216,1;
1101917,Upper Constantia Guest House,2789205,Martin,Ward 62,-34.00644,18.42661,Entire home/apt,3994,4,114,2024-05-19,0.88,2,228,18;
732409,Guinea Fowl Self Catering  Bellville. Rosendal. CT,3812467,Otto,Ward 21,-33.8668,18.64443,Entire home/apt,760,2,53,2023-11-26,0.37,3,308,1;
1111212,SC TOPDECK,6099617,Swen,Ward 100,-34.16382,18.86643,Entire home/apt,7,16,2020-01-03,0.13,1,0,0;
736534,Enjoy a Private Room in Chartfield Guesthouse,3007248,Florian,Ward 64,-34.12617,18.44861,Private room,1300,2,96,2024-06-02,0.94,20,351,17;
1144728,In Vibrant Ambience of Colour to bask in the sun,6276550,Astrid,Ward 57,-33.93323,18.45348,Entire home/apt,3,93,2024-01-03,0.71,1,0,1;
742345,Room with a View - Green Point,3886732,Koos,Ward 115,-33.90999,18.41148,Entire home/apt,566,3,28,2024-06-02,0.47,83,59,12;
743795,Bright Cosy Home with 100Mbps & 2 Car Garage!,3897359,Zac,Ward 57,-33.93627,18.45388,Entire home/apt,908,13,4,2024-03-04,0.81,1,124,4;
